Year;Month;Day type;Time;Appliances;Power (MW)
2015;5;weekday;19:00:00;Others;245.0010133
2015;5;weekday;20:00:00;Others;205.2049354
2015;5;weekday;21:00:00;Others;127.3795245
2015;5;weekday;22:00:00;Others;146.2019752
2015;5;weekday;23:00:00;Others;208.8461164
2015;6;weekday;00:00:00;Others;272.7451036
2015;6;weekday;01:00:00;Others;221.6987906
2015;6;weekday;02:00:00;Others;197.4295889
2015;6;weekday;03:00:00;Others;225.4347614
2015;6;weekday;04:00:00;Others;216.2212519
2015;6;weekday;05:00:00;Others;231.4153224
2015;6;weekday;06:00:00;Others;241.4390994
2015;6;weekday;07:00:00;Others;209.5929819
2015;6;weekday;08:00:00;Others;259.6381007
2015;6;weekday;09:00:00;Others;299.8724163
2015;6;weekday;10:00:00;Others;336.3305984
2015;6;weekday;11:00:00;Others;480.7670443
2015;6;weekday;12:00:00;Others;406.4007403
2015;6;weekday;13:00:00;Others;277.6735212
2015;6;weekday;14:00:00;Others;293.5367938
2015;6;weekday;15:00:00;Others;271.2199217
2015;6;weekday;16:00:00;Others;184.7551388
2015;6;weekday;17:00:00;Others;193.0232184
2015;6;weekday;18:00:00;Others;281.7071105
2015;6;weekday;19:00:00;Others;245.0010133
2015;6;weekday;20:00:00;Others;205.2049354
2015;6;weekday;21:00:00;Others;127.3795245
2015;6;weekday;22:00:00;Others;146.2019752
2015;6;weekday;23:00:00;Others;208.8461164
2015;7;weekday;00:00:00;Others;272.7451036
2015;7;weekday;01:00:00;Others;221.6987906
2015;7;weekday;02:00:00;Others;197.4295889
2015;7;weekday;03:00:00;Others;225.4347614
2015;7;weekday;04:00:00;Others;216.2212519
2015;7;weekday;05:00:00;Others;231.4153224
2015;7;weekday;06:00:00;Others;241.4390994
2015;7;weekday;07:00:00;Others;209.5929819
2015;7;weekday;08:00:00;Others;259.6381007
2015;7;weekday;09:00:00;Others;299.8724163
2015;7;weekday;10:00:00;Others;336.3305984
2015;7;weekday;11:00:00;Others;480.7670443
2015;7;weekday;12:00:00;Others;406.4007403
2015;7;weekday;13:00:00;Others;277.6735212
2015;7;weekday;14:00:00;Others;293.5367938
2015;7;weekday;15:00:00;Others;271.2199217
2015;7;weekday;16:00:00;Others;184.7551388
2015;7;weekday;17:00:00;Others;193.0232184
2015;7;weekday;18:00:00;Others;281.7071105
2015;7;weekday;19:00:00;Others;245.0010133
2015;7;weekday;20:00:00;Others;205.2049354
2015;7;weekday;21:00:00;Others;127.3795245
2015;7;weekday;22:00:00;Others;146.2019752
2015;7;weekday;23:00:00;Others;208.8461164
2015;8;weekday;00:00:00;Others;272.7451036
2015;8;weekday;01:00:00;Others;221.6987906
2015;8;weekday;02:00:00;Others;197.4295889
2015;8;weekday;03:00:00;Others;225.4347614
2015;8;weekday;04:00:00;Others;216.2212519
2015;8;weekday;05:00:00;Others;231.4153224
2015;8;weekday;06:00:00;Others;241.4390994
2015;8;weekday;07:00:00;Others;209.5929819
2015;8;weekday;08:00:00;Others;259.6381007
2015;8;weekday;09:00:00;Others;299.8724163
2015;8;weekday;10:00:00;Others;336.3305984
2015;8;weekday;11:00:00;Others;480.7670443
2015;8;weekday;12:00:00;Others;406.4007403
2015;8;weekday;13:00:00;Others;277.6735212
2015;8;weekday;14:00:00;Others;293.5367938
2015;8;weekday;15:00:00;Others;271.2199217
2015;8;weekday;16:00:00;Others;184.7551388
2015;8;weekday;17:00:00;Others;193.0232184
2015;8;weekday;18:00:00;Others;281.7071105
2015;8;weekday;19:00:00;Others;245.0010133
2015;8;weekday;20:00:00;Others;205.2049354
2015;8;weekday;21:00:00;Others;127.3795245
2015;8;weekday;22:00:00;Others;146.2019752
2015;8;weekday;23:00:00;Others;208.8461164
2015;9;weekday;00:00:00;Others;272.7451036
2015;9;weekday;01:00:00;Others;221.6987906
2015;9;weekday;02:00:00;Others;197.4295889
2015;9;weekday;03:00:00;Others;225.4347614
2015;9;weekday;04:00:00;Others;216.2212519
2015;9;weekday;05:00:00;Others;231.4153224
2015;9;weekday;06:00:00;Others;241.4390994
2015;9;weekday;07:00:00;Others;209.5929819
2015;9;weekday;08:00:00;Others;259.6381007
2015;9;weekday;09:00:00;Others;299.8724163
2015;9;weekday;10:00:00;Others;336.3305984
2015;9;weekday;11:00:00;Others;480.7670443
2015;9;weekday;12:00:00;Others;406.4007403
2015;9;weekday;13:00:00;Others;277.6735212
2015;9;weekday;14:00:00;Others;293.5367938
2015;9;weekday;15:00:00;Others;271.2199217
2015;9;weekday;16:00:00;Others;184.7551388
2015;9;weekday;17:00:00;Others;193.0232184
2015;9;weekday;18:00:00;Others;281.7071105
2015;9;weekday;19:00:00;Others;245.0010133
2015;9;weekday;20:00:00;Others;205.2049354
2015;9;weekday;21:00:00;Others;127.3795245
2015;9;weekday;22:00:00;Others;146.2019752
2015;9;weekday;23:00:00;Others;208.8461164
2015;10;weekday;00:00:00;Others;272.7451036
2015;10;weekday;01:00:00;Others;221.6987906
2015;10;weekday;02:00:00;Others;197.4295889
2015;10;weekday;03:00:00;Others;225.4347614
2015;10;weekday;04:00:00;Others;216.2212519
2015;10;weekday;05:00:00;Others;231.4153224
2015;10;weekday;06:00:00;Others;241.4390994
2015;10;weekday;07:00:00;Others;209.5929819
2015;10;weekday;08:00:00;Others;259.6381007
2015;10;weekday;09:00:00;Others;299.8724163
2015;10;weekday;10:00:00;Others;336.3305984
2015;10;weekday;11:00:00;Others;480.7670443
2015;10;weekday;12:00:00;Others;406.4007403
2015;10;weekday;13:00:00;Others;277.6735212
2015;10;weekday;14:00:00;Others;293.5367938
2015;10;weekday;15:00:00;Others;271.2199217
2015;10;weekday;16:00:00;Others;184.7551388
2015;10;weekday;17:00:00;Others;193.0232184
2015;10;weekday;18:00:00;Others;281.7071105
2015;10;weekday;19:00:00;Others;245.0010133
2015;10;weekday;20:00:00;Others;205.2049354
2015;10;weekday;21:00:00;Others;127.3795245
2015;10;weekday;22:00:00;Others;146.2019752
2015;10;weekday;23:00:00;Others;208.8461164
2015;11;weekday;00:00:00;Others;272.7451036
2015;11;weekday;01:00:00;Others;221.6987906
2015;11;weekday;02:00:00;Others;197.4295889
2015;11;weekday;03:00:00;Others;225.4347614
2015;11;weekday;04:00:00;Others;216.2212519
2015;11;weekday;05:00:00;Others;231.4153224
2015;11;weekday;06:00:00;Others;241.4390994
2015;11;weekday;07:00:00;Others;209.5929819
2015;11;weekday;08:00:00;Others;259.6381007
2015;11;weekday;09:00:00;Others;299.8724163
2015;11;weekday;10:00:00;Others;336.3305984
2015;11;weekday;11:00:00;Others;480.7670443
2015;11;weekday;12:00:00;Others;406.4007403
2015;11;weekday;13:00:00;Others;277.6735212
2015;11;weekday;14:00:00;Others;293.5367938
2015;11;weekday;15:00:00;Others;271.2199217
2015;11;weekday;16:00:00;Others;184.7551388
2015;11;weekday;17:00:00;Others;193.0232184
2015;11;weekday;18:00:00;Others;281.7071105
2015;11;weekday;19:00:00;Others;245.0010133
2015;11;weekday;20:00:00;Others;205.2049354
2015;11;weekday;21:00:00;Others;127.3795245
2015;11;weekday;22:00:00;Others;146.2019752
2015;11;weekday;23:00:00;Others;208.8461164
2015;12;weekday;00:00:00;Others;272.7451036
2015;12;weekday;01:00:00;Others;221.6987906
2015;12;weekday;02:00:00;Others;197.4295889
2015;12;weekday;03:00:00;Others;225.4347614
2015;12;weekday;04:00:00;Others;216.2212519
2015;12;weekday;05:00:00;Others;231.4153224
2015;12;weekday;06:00:00;Others;241.4390994
2015;12;weekday;07:00:00;Others;209.5929819
2015;12;weekday;08:00:00;Others;259.6381007
2015;12;weekday;09:00:00;Others;299.8724163
2015;12;weekday;10:00:00;Others;336.3305984
2015;12;weekday;11:00:00;Others;480.7670443
2015;12;weekday;12:00:00;Others;406.4007403
2015;12;weekday;13:00:00;Others;277.6735212
2015;12;weekday;14:00:00;Others;293.5367938
2015;12;weekday;15:00:00;Others;271.2199217
2015;12;weekday;16:00:00;Others;184.7551388
2015;12;weekday;17:00:00;Others;193.0232184
2015;12;weekday;18:00:00;Others;281.7071105
2015;12;weekday;19:00:00;Others;245.0010133
2015;12;weekday;20:00:00;Others;205.2049354
2015;12;weekday;21:00:00;Others;127.3795245
2015;12;weekday;22:00:00;Others;146.2019752
2015;12;weekday;23:00:00;Others;208.8461164
2015;1;weekend;00:00:00;Others;272.7451036
2015;1;weekend;01:00:00;Others;221.6987906
2015;1;weekend;02:00:00;Others;197.4295889
2015;1;weekend;03:00:00;Others;225.4347614
2015;1;weekend;04:00:00;Others;216.2212519
2015;1;weekend;05:00:00;Others;231.4153224
2015;1;weekend;06:00:00;Others;241.4390994
2015;1;weekend;07:00:00;Others;209.5929819
2015;1;weekend;08:00:00;Others;259.6381007
2015;1;weekend;09:00:00;Others;299.8724163
2015;1;weekend;10:00:00;Others;336.3305984
2015;1;weekend;11:00:00;Others;480.7670443
2015;1;weekend;12:00:00;Others;406.4007403
2015;1;weekend;13:00:00;Others;277.6735212
2015;1;weekend;14:00:00;Others;293.5367938
2015;1;weekend;15:00:00;Others;271.2199217
2015;1;weekend;16:00:00;Others;184.7551388
2015;1;weekend;17:00:00;Others;193.0232184
2015;1;weekend;18:00:00;Others;281.7071105
2015;1;weekend;19:00:00;Others;245.0010133
2015;1;weekend;20:00:00;Others;205.2049354
2015;1;weekend;21:00:00;Others;127.3795245
2015;1;weekend;22:00:00;Others;146.2019752
2015;1;weekend;23:00:00;Others;208.8461164
2015;2;weekend;00:00:00;Others;272.7451036
2015;2;weekend;01:00:00;Others;221.6987906
2015;2;weekend;02:00:00;Others;197.4295889
2015;2;weekend;03:00:00;Others;225.4347614
2015;2;weekend;04:00:00;Others;216.2212519
2015;2;weekend;05:00:00;Others;231.4153224
2015;2;weekend;06:00:00;Others;241.4390994
2015;2;weekend;07:00:00;Others;209.5929819
2015;2;weekend;08:00:00;Others;259.6381007
2015;2;weekend;09:00:00;Others;299.8724163
2015;2;weekend;10:00:00;Others;336.3305984
2015;2;weekend;11:00:00;Others;480.7670443
2015;2;weekend;12:00:00;Others;406.4007403
2015;2;weekend;13:00:00;Others;277.6735212
2015;2;weekend;14:00:00;Others;293.5367938
2015;2;weekend;15:00:00;Others;271.2199217
2015;2;weekend;16:00:00;Others;184.7551388
2015;2;weekend;17:00:00;Others;193.0232184
2015;2;weekend;18:00:00;Others;281.7071105
2015;2;weekend;19:00:00;Others;245.0010133
2015;2;weekend;20:00:00;Others;205.2049354
2015;2;weekend;21:00:00;Others;127.3795245
2015;2;weekend;22:00:00;Others;146.2019752
2015;2;weekend;23:00:00;Others;208.8461164
2015;3;weekend;00:00:00;Others;272.7451036
2015;3;weekend;01:00:00;Others;221.6987906
2015;3;weekend;02:00:00;Others;197.4295889
2015;3;weekend;03:00:00;Others;225.4347614
2015;3;weekend;04:00:00;Others;216.2212519
2015;3;weekend;05:00:00;Others;231.4153224
2015;3;weekend;06:00:00;Others;241.4390994
2015;3;weekend;07:00:00;Others;209.5929819
2015;3;weekend;08:00:00;Others;259.6381007
2015;3;weekend;09:00:00;Others;299.8724163
2015;3;weekend;10:00:00;Others;336.3305984
2015;3;weekend;11:00:00;Others;480.7670443
2015;3;weekend;12:00:00;Others;406.4007403
2015;3;weekend;13:00:00;Others;277.6735212
2015;3;weekend;14:00:00;Others;293.5367938
2015;3;weekend;15:00:00;Others;271.2199217
2015;3;weekend;16:00:00;Others;184.7551388
2015;3;weekend;17:00:00;Others;193.0232184
2015;3;weekend;18:00:00;Others;281.7071105
2015;3;weekend;19:00:00;Others;245.0010133
2015;3;weekend;20:00:00;Others;205.2049354
2015;3;weekend;21:00:00;Others;127.3795245
2015;3;weekend;22:00:00;Others;146.2019752
2015;3;weekend;23:00:00;Others;208.8461164
2015;4;weekend;00:00:00;Others;272.7451036
2015;4;weekend;01:00:00;Others;221.6987906
2015;4;weekend;02:00:00;Others;197.4295889
2015;4;weekend;03:00:00;Others;225.4347614
2015;4;weekend;04:00:00;Others;216.2212519
2015;4;weekend;05:00:00;Others;231.4153224
2015;4;weekend;06:00:00;Others;241.4390994
2015;4;weekend;07:00:00;Others;209.5929819
2015;4;weekend;08:00:00;Others;259.6381007
2015;4;weekend;09:00:00;Others;299.8724163
2015;4;weekend;10:00:00;Others;336.3305984
2015;4;weekend;11:00:00;Others;480.7670443
2015;4;weekend;12:00:00;Others;406.4007403
2015;4;weekend;13:00:00;Others;277.6735212
2015;4;weekend;14:00:00;Others;293.5367938
2015;4;weekend;15:00:00;Others;271.2199217
2015;4;weekend;16:00:00;Others;184.7551388
2015;4;weekend;17:00:00;Others;193.0232184
2015;4;weekend;18:00:00;Others;281.7071105
2015;4;weekend;19:00:00;Others;245.0010133
2015;4;weekend;20:00:00;Others;205.2049354
2015;4;weekend;21:00:00;Others;127.3795245
2015;4;weekend;22:00:00;Others;146.2019752
2015;4;weekend;23:00:00;Others;208.8461164
2015;5;weekend;00:00:00;Others;272.7451036
2015;5;weekend;01:00:00;Others;221.6987906
2015;5;weekend;02:00:00;Others;197.4295889
2015;5;weekend;03:00:00;Others;225.4347614
2015;5;weekend;04:00:00;Others;216.2212519
2015;5;weekend;05:00:00;Others;231.4153224
2015;5;weekend;06:00:00;Others;241.4390994
2015;5;weekend;07:00:00;Others;209.5929819
2015;5;weekend;08:00:00;Others;259.6381007
2015;5;weekend;09:00:00;Others;299.8724163
2015;5;weekend;10:00:00;Others;336.3305984
2015;5;weekend;11:00:00;Others;480.7670443
2015;5;weekend;12:00:00;Others;406.4007403
2015;5;weekend;13:00:00;Others;277.6735212
2015;5;weekend;14:00:00;Others;293.5367938
2015;5;weekend;15:00:00;Others;271.2199217
2015;5;weekend;16:00:00;Others;184.7551388
2015;5;weekend;17:00:00;Others;193.0232184
2015;5;weekend;18:00:00;Others;281.7071105
2015;5;weekend;19:00:00;Others;245.0010133
2015;5;weekend;20:00:00;Others;205.2049354
2015;5;weekend;21:00:00;Others;127.3795245
2015;5;weekend;22:00:00;Others;146.2019752
2015;5;weekend;23:00:00;Others;208.8461164
2015;6;weekend;00:00:00;Others;272.7451036
2015;6;weekend;01:00:00;Others;221.6987906
2015;6;weekend;02:00:00;Others;197.4295889
2015;6;weekend;03:00:00;Others;225.4347614
2015;6;weekend;04:00:00;Others;216.2212519
2015;6;weekend;05:00:00;Others;231.4153224
2015;6;weekend;06:00:00;Others;241.4390994
2015;6;weekend;07:00:00;Others;209.5929819
2015;6;weekend;08:00:00;Others;259.6381007
2015;6;weekend;09:00:00;Others;299.8724163
2015;6;weekend;10:00:00;Others;336.3305984
2015;6;weekend;11:00:00;Others;480.7670443
2015;6;weekend;12:00:00;Others;406.4007403
2015;6;weekend;13:00:00;Others;277.6735212
2015;6;weekend;14:00:00;Others;293.5367938
2015;6;weekend;15:00:00;Others;271.2199217
2015;6;weekend;16:00:00;Others;184.7551388
2015;6;weekend;17:00:00;Others;193.0232184
2015;6;weekend;18:00:00;Others;281.7071105
2015;6;weekend;19:00:00;Others;245.0010133
2015;6;weekend;20:00:00;Others;205.2049354
2015;6;weekend;21:00:00;Others;127.3795245
2015;6;weekend;22:00:00;Others;146.2019752
2015;6;weekend;23:00:00;Others;208.8461164
2015;7;weekend;00:00:00;Others;272.7451036
2015;7;weekend;01:00:00;Others;221.6987906
2015;7;weekend;02:00:00;Others;197.4295889
2015;7;weekend;03:00:00;Others;225.4347614
2015;7;weekend;04:00:00;Others;216.2212519
2015;7;weekend;05:00:00;Others;231.4153224
2015;7;weekend;06:00:00;Others;241.4390994
2015;7;weekend;07:00:00;Others;209.5929819
2015;7;weekend;08:00:00;Others;259.6381007
2015;7;weekend;09:00:00;Others;299.8724163
2015;7;weekend;10:00:00;Others;336.3305984
2015;7;weekend;11:00:00;Others;480.7670443
2015;7;weekend;12:00:00;Others;406.4007403
2015;7;weekend;13:00:00;Others;277.6735212
2015;7;weekend;14:00:00;Others;293.5367938
2015;7;weekend;15:00:00;Others;271.2199217
2015;7;weekend;16:00:00;Others;184.7551388
2015;7;weekend;17:00:00;Others;193.0232184
2015;7;weekend;18:00:00;Others;281.7071105
2015;7;weekend;19:00:00;Others;245.0010133
2015;7;weekend;20:00:00;Others;205.2049354
2015;7;weekend;21:00:00;Others;127.3795245
2015;7;weekend;22:00:00;Others;146.2019752
2015;7;weekend;23:00:00;Others;208.8461164
2015;8;weekend;00:00:00;Others;272.7451036
2015;8;weekend;01:00:00;Others;221.6987906
2015;8;weekend;02:00:00;Others;197.4295889
2015;8;weekend;03:00:00;Others;225.4347614
2015;8;weekend;04:00:00;Others;216.2212519
2015;8;weekend;05:00:00;Others;231.4153224
2015;8;weekend;06:00:00;Others;241.4390994
2015;8;weekend;07:00:00;Others;209.5929819
2015;8;weekend;08:00:00;Others;259.6381007
2015;8;weekend;09:00:00;Others;299.8724163
2015;8;weekend;10:00:00;Others;336.3305984
2015;8;weekend;11:00:00;Others;480.7670443
2015;8;weekend;12:00:00;Others;406.4007403
2015;8;weekend;13:00:00;Others;277.6735212
2015;8;weekend;14:00:00;Others;293.5367938
2015;8;weekend;15:00:00;Others;271.2199217
2015;8;weekend;16:00:00;Others;184.7551388
2015;8;weekend;17:00:00;Others;193.0232184
2015;8;weekend;18:00:00;Others;281.7071105
2015;8;weekend;19:00:00;Others;245.0010133
2015;8;weekend;20:00:00;Others;205.2049354
2015;8;weekend;21:00:00;Others;127.3795245
2015;8;weekend;22:00:00;Others;146.2019752
2015;8;weekend;23:00:00;Others;208.8461164
2015;9;weekend;00:00:00;Others;272.7451036
