timestamp,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine
2024-08-01 00:00:00,3.7481072402499995,3.8727391743500004,45.560351266350004,24.853150052,0.7459713107000001
2024-08-01 00:15:00,3.7481072402499995,3.8727391743500004,45.560351266350004,24.853150052,0.7459713107000001
2024-08-01 00:30:00,3.7481072402499995,3.8727391743500004,45.560351266350004,24.853150052,0.7459713107000001
2024-08-01 00:45:00,3.7481072402499995,3.8727391743500004,45.560351266350004,24.853150052,0.7459713107000001
2024-08-01 01:00:00,4.38825212575,2.420461984,9.7632825962,3.50493141765,2.6131982874500004
2024-08-01 01:15:00,4.38825212575,2.420461984,9.7632825962,3.50493141765,2.6131982874500004
2024-08-01 01:30:00,4.38825212575,2.420461984,9.7632825962,3.50493141765,2.6131982874500004
2024-08-01 01:45:00,4.38825212575,2.420461984,9.7632825962,3.50493141765,2.6131982874500004
2024-08-01 02:00:00,1.6016635976,0.0,6.9989830923000005,1.2745205154,0.33047412425
2024-08-01 02:15:00,1.6016635976,0.0,6.9989830923000005,1.2745205154,0.33047412425
2024-08-01 02:30:00,1.6016635976,0.0,6.9989830923000005,1.2745205154,0.33047412425
2024-08-01 02:45:00,1.6016635976,0.0,6.9989830923000005,1.2745205154,0.33047412425
2024-08-01 03:00:00,0.7916841275000001,1.9363695874000002,5.183688278900001,0.95589038685,0.0
2024-08-01 03:15:00,0.7916841275000001,1.9363695874000002,5.183688278900001,0.95589038685,0.0
2024-08-01 03:30:00,0.7916841275000001,1.9363695874000002,5.183688278900001,0.95589038685,0.0
2024-08-01 03:45:00,0.7916841275000001,1.9363695874000002,5.183688278900001,0.95589038685,0.0
2024-08-01 04:00:00,0.0177423373,3.8727391743500004,7.474860738700001,0.95589038685,0.00047339585
2024-08-01 04:15:00,0.0177423373,3.8727391743500004,7.474860738700001,0.95589038685,0.00047339585
2024-08-01 04:30:00,0.0177423373,3.8727391743500004,7.474860738700001,0.95589038685,0.00047339585
2024-08-01 04:45:00,0.0177423373,3.8727391743500004,7.474860738700001,0.95589038685,0.00047339585
2024-08-01 05:00:00,1.2097424377500001,36.498735216499995,10.76129808515,0.6372602577500001,6.7645863041
2024-08-01 05:15:00,1.2097424377500001,36.498735216499995,10.76129808515,0.6372602577500001,6.7645863041
2024-08-01 05:30:00,1.2097424377500001,36.498735216499995,10.76129808515,0.6372602577500001,6.7645863041
2024-08-01 05:45:00,1.2097424377500001,36.498735216499995,10.76129808515,0.6372602577500001,6.7645863041
2024-08-01 06:00:00,5.474137097450001,156.53901989500002,34.6283384796,5.0980820622500005,18.6953098675
2024-08-01 06:15:00,5.474137097450001,156.53901989500002,34.6283384796,5.0980820622500005,18.6953098675
2024-08-01 06:30:00,5.474137097450001,156.53901989500002,34.6283384796,5.0980820622500005,18.6953098675
2024-08-01 06:45:00,5.474137097450001,156.53901989500002,34.6283384796,5.0980820622500005,18.6953098675
2024-08-01 07:00:00,24.315008187,269.74303358,67.5073707374,16.7781522115,50.453854325500004
2024-08-01 07:15:00,24.315008187,269.74303358,67.5073707374,16.7781522115,50.453854325500004
2024-08-01 07:30:00,24.315008187,269.74303358,67.5073707374,16.7781522115,50.453854325500004
2024-08-01 07:45:00,24.315008187,269.74303358,67.5073707374,16.7781522115,50.453854325500004
2024-08-01 08:00:00,62.5328622535,259.25302673,83.78599237605,26.1974657415,105.21259441500001
2024-08-01 08:15:00,62.5328622535,259.25302673,83.78599237605,26.1974657415,105.21259441500001
2024-08-01 08:30:00,62.5328622535,259.25302673,83.78599237605,26.1974657415,105.21259441500001
2024-08-01 08:45:00,62.5328622535,259.25302673,83.78599237605,26.1974657415,105.21259441500001
2024-08-01 09:00:00,95.078024188,201.74564793500002,81.58929539915002,38.873704984,176.688724355
2024-08-01 09:15:00,95.078024188,201.74564793500002,81.58929539915002,38.873704984,176.688724355
2024-08-01 09:30:00,95.078024188,201.74564793500002,81.58929539915002,38.873704984,176.688724355
2024-08-01 09:45:00,95.078024188,201.74564793500002,81.58929539915002,38.873704984,176.688724355
2024-08-01 10:00:00,82.599747488,200.385316215,81.08600611095001,32.7396025975,213.905923905
2024-08-01 10:15:00,82.599747488,200.385316215,81.08600611095001,32.7396025975,213.905923905
2024-08-01 10:30:00,82.599747488,200.385316215,81.08600611095001,32.7396025975,213.905923905
2024-08-01 10:45:00,82.599747488,200.385316215,81.08600611095001,32.7396025975,213.905923905
2024-08-01 11:00:00,45.503806680500006,459.512427205,84.04360135745,36.169465724000005,199.79661731000002
2024-08-01 11:15:00,45.503806680500006,459.512427205,84.04360135745,36.169465724000005,199.79661731000002
2024-08-01 11:30:00,45.503806680500006,459.512427205,84.04360135745,36.169465724000005,199.79661731000002
2024-08-01 11:45:00,45.503806680500006,459.512427205,84.04360135745,36.169465724000005,199.79661731000002
2024-08-01 12:00:00,45.179458231000005,346.766079085,91.39080688255001,30.868768164000002,146.480264715
2024-08-01 12:15:00,45.179458231000005,346.766079085,91.39080688255001,30.868768164000002,146.480264715
2024-08-01 12:30:00,45.179458231000005,346.766079085,91.39080688255001,30.868768164000002,146.480264715
2024-08-01 12:45:00,45.179458231000005,346.766079085,91.39080688255001,30.868768164000002,146.480264715
2024-08-01 13:00:00,225.51528345,98.023190048,140.30168161400002,39.853737513,119.53150755000001
2024-08-01 13:15:00,225.51528345,98.023190048,140.30168161400002,39.853737513,119.53150755000001
2024-08-01 13:30:00,225.51528345,98.023190048,140.30168161400002,39.853737513,119.53150755000001
