timestamp,Geschirrspüler
2024-01-19 00:00:00,33.063827133000004
2024-01-19 00:15:00,33.063827133000004
2024-01-19 00:30:00,33.063827133000004
2024-01-19 00:45:00,33.063827133000004
2024-01-19 01:00:00,69.846424669
2024-01-19 01:15:00,69.846424669
2024-01-19 01:30:00,69.846424669
2024-01-19 01:45:00,69.846424669
2024-01-19 02:00:00,46.1877414875
2024-01-19 02:15:00,46.1877414875
2024-01-19 02:30:00,46.1877414875
2024-01-19 02:45:00,46.1877414875
2024-01-19 03:00:00,13.314685269
2024-01-19 03:15:00,13.314685269
2024-01-19 03:30:00,13.314685269
2024-01-19 03:45:00,13.314685269
2024-01-19 04:00:00,2.43141608175
2024-01-19 04:15:00,2.43141608175
2024-01-19 04:30:00,2.43141608175
2024-01-19 04:45:00,2.43141608175
2024-01-19 05:00:00,1.5421819572000002
2024-01-19 05:15:00,1.5421819572000002
2024-01-19 05:30:00,1.5421819572000002
2024-01-19 05:45:00,1.5421819572000002
2024-01-19 06:00:00,0.82777009565
2024-01-19 06:15:00,0.82777009565
2024-01-19 06:30:00,0.82777009565
2024-01-19 06:45:00,0.82777009565
2024-01-19 07:00:00,1.02847322685
2024-01-19 07:15:00,1.02847322685
2024-01-19 07:30:00,1.02847322685
2024-01-19 07:45:00,1.02847322685
2024-01-19 08:00:00,3.65726321425
2024-01-19 08:15:00,3.65726321425
2024-01-19 08:30:00,3.65726321425
2024-01-19 08:45:00,3.65726321425
2024-01-19 09:00:00,9.69974881235
2024-01-19 09:15:00,9.69974881235
2024-01-19 09:30:00,9.69974881235
2024-01-19 09:45:00,9.69974881235
2024-01-19 10:00:00,26.223828227
2024-01-19 10:15:00,26.223828227
2024-01-19 10:30:00,26.223828227
2024-01-19 10:45:00,26.223828227
2024-01-19 11:00:00,59.7046114435
2024-01-19 11:15:00,59.7046114435
2024-01-19 11:30:00,59.7046114435
2024-01-19 11:45:00,59.7046114435
2024-01-19 12:00:00,98.458356018
2024-01-19 12:15:00,98.458356018
2024-01-19 12:30:00,98.458356018
2024-01-19 12:45:00,98.458356018
2024-01-19 13:00:00,100.49515741550002
2024-01-19 13:15:00,100.49515741550002
2024-01-19 13:30:00,100.49515741550002
2024-01-19 13:45:00,100.49515741550002
2024-01-19 14:00:00,63.500753099
2024-01-19 14:15:00,63.500753099
2024-01-19 14:30:00,63.500753099
2024-01-19 14:45:00,63.500753099
2024-01-19 15:00:00,42.24189951700001
2024-01-19 15:15:00,42.24189951700001
2024-01-19 15:30:00,42.24189951700001
2024-01-19 15:45:00,42.24189951700001
2024-01-19 16:00:00,228.312706685
2024-01-19 16:15:00,228.312706685
2024-01-19 16:30:00,228.312706685
2024-01-19 16:45:00,228.312706685
2024-01-19 17:00:00,294.41893886
2024-01-19 17:15:00,294.41893886
2024-01-19 17:30:00,294.41893886
2024-01-19 17:45:00,294.41893886
2024-01-19 18:00:00,118.364441395
2024-01-19 18:15:00,118.364441395
2024-01-19 18:30:00,118.364441395
2024-01-19 18:45:00,118.364441395
2024-01-19 19:00:00,26.595311422
2024-01-19 19:15:00,26.595311422
2024-01-19 19:30:00,26.595311422
2024-01-19 19:45:00,26.595311422
2024-01-19 20:00:00,21.1881414145
2024-01-19 20:15:00,21.1881414145
2024-01-19 20:30:00,21.1881414145
2024-01-19 20:45:00,21.1881414145
2024-01-19 21:00:00,27.9147490975
2024-01-19 21:15:00,27.9147490975
2024-01-19 21:30:00,27.9147490975
2024-01-19 21:45:00,27.9147490975
2024-01-19 22:00:00,42.4571749265
2024-01-19 22:15:00,42.4571749265
2024-01-19 22:30:00,42.4571749265
2024-01-19 22:45:00,42.4571749265
2024-01-19 23:00:00,188.757623245
2024-01-19 23:15:00,188.757623245
2024-01-19 23:30:00,188.757623245
2024-01-19 23:45:00,188.757623245
2024-06-19 00:00:00,3.5536345877500004
2024-06-19 00:15:00,3.5536345877500004
2024-06-19 00:30:00,3.5536345877500004
2024-06-19 00:45:00,3.5536345877500004
2024-06-19 01:00:00,4.16056519485
2024-06-19 01:15:00,4.16056519485
2024-06-19 01:30:00,4.16056519485
2024-06-19 01:45:00,4.16056519485
2024-06-19 02:00:00,1.51856038125
2024-06-19 02:15:00,1.51856038125
2024-06-19 02:30:00,1.51856038125
2024-06-19 02:45:00,1.51856038125
2024-06-19 03:00:00,0.7506071512500001
2024-06-19 03:15:00,0.7506071512500001
2024-06-19 03:30:00,0.7506071512500001
2024-06-19 03:45:00,0.7506071512500001
2024-06-19 04:00:00,0.01682176625
2024-06-19 04:15:00,0.01682176625
2024-06-19 04:30:00,0.01682176625
