date,start,end,window_pct,window_sum
2024-01-19,13:45,00:00,70.968,4315.5021160615
2024-06-19,13:00,22:15,70.072,4752.880417181
2024-06-21,13:00,22:15,70.072,4752.880417181
2024-06-30,12:45,22:15,70.329,4474.649392991
2024-07-10,12:45,22:15,70.245,4692.574242942999
2024-10-27,13:00,22:15,70.0,5189.09057089
