timestamp,total_called_mw,avg_price_eur_mwh,price_eur_mwh_original,price_chf_kwh,weekday,hour
2024-06-21 18:30:00,1058.0,9671.777504725898,9671.777504725898,9.671777504725899,Friday,18
2024-06-21 18:45:00,1058.0,9667.137145557655,9667.137145557655,9.667137145557655,Friday,18
2024-06-21 18:15:00,1058.0,9604.625803402649,9604.625803402649,9.604625803402648,Friday,18
2024-06-21 18:00:00,1058.0,9470.095085066165,9470.095085066165,9.470095085066164,Friday,18
2024-06-21 19:00:00,1073.0,8984.624883504193,8984.624883504193,8.984624883504193,Friday,19
2024-06-21 19:15:00,923.0,8234.949620801734,8234.949620801734,8.234949620801734,Friday,19
2024-06-21 19:30:00,923.0,8234.949620801734,8234.949620801734,8.234949620801734,Friday,19
2024-06-21 19:45:00,923.0,8234.949620801734,8234.949620801734,8.234949620801734,Friday,19
2024-07-10 10:00:00,441.0,8067.727596371882,8067.727596371882,8.067727596371881,Wednesday,10
2024-07-10 10:15:00,466.0,8012.221824034335,8012.221824034335,8.012221824034336,Wednesday,10
2024-01-19 08:00:00,709.0,6749.053610719323,6749.053610719323,6.749053610719323,Friday,8
2024-07-10 08:45:00,301.0,6373.771893687708,6373.771893687708,6.373771893687708,Wednesday,8
2024-07-10 08:30:00,251.0,5419.274262948207,5419.274262948207,5.419274262948207,Wednesday,8
2024-07-10 20:00:00,399.0,5091.79,5091.79,5.09179,Wednesday,20
2024-07-10 10:30:00,551.0,5042.879528130672,5042.879528130672,5.042879528130672,Wednesday,10
2024-06-30 08:30:00,20.0,5000.0,5000.0,5.0,Sunday,8
2024-07-10 10:45:00,551.0,4897.505662431942,4897.505662431942,4.897505662431942,Wednesday,10
2024-06-19 19:45:00,699.0,4282.397424892703,4282.397424892703,4.282397424892704,Wednesday,19
2024-07-10 09:15:00,351.0,3803.847777777778,3803.847777777778,3.803847777777778,Wednesday,9
2024-07-10 09:45:00,400.0,3799.19905,3799.19905,3.7991990500000004,Wednesday,9
2024-07-10 09:30:00,400.0,3796.02155,3796.02155,3.79602155,Wednesday,9
2024-10-27 17:30:00,268.0,3622.4731343283584,3622.4731343283584,3.6224731343283585,Sunday,17
2024-06-19 19:30:00,648.0,3617.094598765432,3617.094598765432,3.6170945987654317,Wednesday,19
2024-10-27 17:45:00,262.0,3573.6820610687023,3573.6820610687023,3.5736820610687023,Sunday,17
