respondent_id,gender
118867014490,Männlich
118867103472,Weiblich
118867106782,Männlich
118867102635,Männlich
118867095560,Männlich
118867093389,Männlich
118867085559,Männlich
118867081746,Männlich
118867081624,Weiblich
118867080434,Weiblich
118867074861,Männlich
118867075571,Weiblich
118867072484,Weiblich
118867062931,Divers
118867061539,Männlich
118867060721,Weiblich
118867051868,Weiblich
118867051937,Männlich
118867049431,Männlich
118867048965,Männlich
118867015928,Männlich
118867045143,Männlich
118867046914,Weiblich
118867037998,Männlich
118867044486,Männlich
118866955443,Männlich
118867044801,Weiblich
118867044223,Männlich
118867043137,Weiblich
118867044118,Weiblich
118867043576,Männlich
118867041751,Männlich
118867040792,Männlich
118867041382,Männlich
118867040503,Weiblich
118867040007,Weiblich
118867040264,Weiblich
118867038333,Weiblich
118867036887,Weiblich
118867037007,Weiblich
118867037498,Weiblich
118867036948,Männlich
118867037754,Männlich
118867036605,Männlich
118867035459,Weiblich
118867034269,Männlich
118867032938,Weiblich
118867030915,Weiblich
118867031622,Weiblich
118867028646,Weiblich
118867029398,Männlich
118867029770,Männlich
118867026886,Weiblich
118867027259,Weiblich
118867026090,Weiblich
118867025702,Weiblich
118867022508,Männlich
118867024898,Weiblich
118867024317,Weiblich
118867022838,Männlich
118867018284,Weiblich
118867014898,Weiblich
118867016042,Männlich
118867018967,Weiblich
118867019545,Männlich
118867017445,Weiblich
118867016415,Männlich
118867015217,Männlich
118867013213,Männlich
118867013132,Männlich
118867012300,Männlich
118867013091,Männlich
118867011523,Männlich
118867010888,Männlich
118867008679,Männlich
118867006949,Männlich
118867006094,Männlich
118867008529,Männlich
118867006775,Weiblich
118867003864,Weiblich
118867004785,Männlich
118867002893,Männlich
118867002033,Männlich
118867002447,Weiblich
118867000777,Männlich
118866999088,Männlich
118866997913,Männlich
118866998775,Weiblich
118866997312,Männlich
118866993456,Männlich
118866994852,Weiblich
118866994419,Weiblich
118866996124,Männlich
118866995343,Männlich
118866994047,Weiblich
118866994425,Männlich
118866992134,Männlich
118866992596,Weiblich
118866990024,Männlich
118866989350,Weiblich
118866989292,Männlich
118866987521,Weiblich
118866987307,Männlich
118866990134,Weiblich
118866986337,Weiblich
118866989972,Männlich
118866984327,Weiblich
118866973987,Männlich
118866983923,Männlich
118866982200,Weiblich
118866983403,Weiblich
118866982535,Weiblich
118866979137,Weiblich
118866981859,Weiblich
118866981183,Weiblich
118866979933,Weiblich
118866979138,Männlich
118866974650,Weiblich
118866975327,Weiblich
118866974083,Weiblich
118866974195,Weiblich
118866974381,Weiblich
118866975040,Weiblich
118866974076,Männlich
118866973535,Männlich
