timestamp,price
2015-03-01 00:00:00+01:00,48.95
2015-03-01 00:15:00+01:00,48.95
2015-03-01 00:30:00+01:00,48.95
2015-03-01 00:45:00+01:00,48.95
2015-03-01 01:00:00+01:00,40.98
2015-03-01 01:15:00+01:00,40.98
2015-03-01 01:30:00+01:00,40.98
2015-03-01 01:45:00+01:00,40.98
2015-03-01 02:00:00+01:00,37.69
2015-03-01 02:15:00+01:00,37.69
2015-03-01 02:30:00+01:00,37.69
2015-03-01 02:45:00+01:00,37.69
2015-03-01 03:00:00+01:00,35.21
2015-03-01 03:15:00+01:00,35.21
2015-03-01 03:30:00+01:00,35.21
2015-03-01 03:45:00+01:00,35.21
2015-03-01 04:00:00+01:00,26.11
2015-03-01 04:15:00+01:00,26.11
2015-03-01 04:30:00+01:00,26.11
2015-03-01 04:45:00+01:00,26.11
2015-03-01 05:00:00+01:00,20.4
2015-03-01 05:15:00+01:00,20.4
2015-03-01 05:30:00+01:00,20.4
2015-03-01 05:45:00+01:00,20.4
2015-03-01 06:00:00+01:00,18.87
2015-03-01 06:15:00+01:00,18.87
2015-03-01 06:30:00+01:00,18.87
2015-03-01 06:45:00+01:00,18.87
2015-03-01 07:00:00+01:00,14.99
2015-03-01 07:15:00+01:00,14.99
2015-03-01 07:30:00+01:00,14.99
2015-03-01 07:45:00+01:00,14.99
2015-03-01 08:00:00+01:00,23.77
2015-03-01 08:15:00+01:00,23.77
2015-03-01 08:30:00+01:00,23.77
2015-03-01 08:45:00+01:00,23.77
2015-03-01 09:00:00+01:00,28.18
2015-03-01 09:15:00+01:00,28.18
2015-03-01 09:30:00+01:00,28.18
2015-03-01 09:45:00+01:00,28.18
2015-03-01 10:00:00+01:00,25.39
2015-03-01 10:15:00+01:00,25.39
2015-03-01 10:30:00+01:00,25.39
2015-03-01 10:45:00+01:00,25.39
2015-03-01 11:00:00+01:00,29.89
2015-03-01 11:15:00+01:00,29.89
2015-03-01 11:30:00+01:00,29.89
2015-03-01 11:45:00+01:00,29.89
2015-03-01 12:00:00+01:00,30.76
2015-03-01 12:15:00+01:00,30.76
2015-03-01 12:30:00+01:00,30.76
2015-03-01 12:45:00+01:00,30.76
2015-03-01 13:00:00+01:00,25.41
