event_date;rank_step4;reference_peak_utc;event_start_utc;event_duration_h;pre_peak_offset_h;avg_tre_price_in_window_chf_kwh;event_hours_paid_cap;event_kwh_cap;avg_tre_price_paid_h_chf_kwh;event_max_comp_chf_per_hh;kompensations_basis_energie_kwh;kompensations_basis_kosten_chf;konvergierter_komp_prozentsatz;finale_teilnahmequote;window_limit_mwh;hh_limit_mwh;shiftable_energy_mwh;binding_constraint;households_in_scope;kompensation_pro_haushalt_pro_event_chf;iterations_to_converge;converged;error_message
2024-06-19;3;2024-06-19 17:45;2024-06-19 16:45;4.5;1.0;0.6841658778379355;1.5;1.44;1.832451307788708;2.6387298832157393;43.199999999999996;12.527999999999999;21.057516459553362;0.5134408602150538;163.1643174465168;73.93548387096774;73.93548387096774;per_household_cap;100000;2.6380856620528452;12;True;
2024-06-21;1;2024-06-21 16:30;2024-06-21 14:30;1.5;2.0;1.896196828221446;1.5;1.44;1.896196828221446;2.7305234326388823;43.199999999999996;12.527999999999999;21.79004470738714;0.5887096774193549;159.09326657594758;84.77419354838709;84.77419354838709;per_household_cap;100000;2.7298568009414605;12;True;
2024-07-10;2;2024-07-10 18:00;2024-07-10 17:00;4.5;1.0;0.3857966247658428;1.5;1.44;0.9329186708937197;1.3434028860869562;44.64;12.945599999999999;10.372226298097301;0.4489247311827957;161.29816432546102;64.64516129032258;64.64516129032258;per_household_cap;100000;1.342746927646484;11;True;
