timestamp,total_called_mw,avg_price_eur_mwh,price_eur_mwh_original,price_chf_kwh,weekday,hour
2024-06-21 18:30:00,1058.0,9671.777504725898,9671.777504725898,9.381624179584122,Friday,18
2024-06-21 18:45:00,1058.0,9667.137145557655,9667.137145557655,9.377123031190925,Friday,18
2024-06-21 18:15:00,1058.0,9604.625803402649,9604.625803402649,9.316487029300568,Friday,18
2024-06-21 18:00:00,1058.0,9470.095085066165,9470.095085066165,9.18599223251418,Friday,18
2024-06-21 19:00:00,1073.0,8984.624883504193,8984.624883504193,8.715086136999066,Friday,19
2024-06-21 19:15:00,923.0,8234.949620801734,8234.949620801734,7.987901132177682,Friday,19
2024-06-21 19:30:00,923.0,8234.949620801734,8234.949620801734,7.987901132177682,Friday,19
2024-06-21 19:45:00,923.0,8234.949620801734,8234.949620801734,7.987901132177682,Friday,19
2024-07-10 10:00:00,441.0,8067.727596371882,8067.727596371882,7.825695768480725,Wednesday,10
2024-07-10 10:15:00,466.0,8012.221824034335,8012.221824034335,7.771855169313306,Wednesday,10
2024-01-19 08:00:00,709.0,6749.053610719323,6749.053610719323,6.546582002397743,Friday,8
2024-07-10 08:45:00,301.0,6373.771893687708,6373.771893687708,6.182558736877077,Wednesday,8
2024-07-10 08:30:00,251.0,5419.274262948207,5419.274262948207,5.25669603505976,Wednesday,8
2024-07-10 20:00:00,399.0,5091.79,5091.79,4.9390363,Wednesday,20
2024-07-10 10:30:00,551.0,5042.879528130672,5042.879528130672,4.891593142286752,Wednesday,10
2024-06-30 08:30:00,20.0,5000.0,5000.0,4.85,Sunday,8
2024-07-10 10:45:00,551.0,4897.505662431942,4897.505662431942,4.750580492558983,Wednesday,10
2024-06-19 19:45:00,699.0,4282.397424892703,4282.397424892703,4.153925502145922,Wednesday,19
2024-07-10 09:15:00,351.0,3803.847777777778,3803.847777777778,3.6897323444444443,Wednesday,9
2024-07-10 09:45:00,400.0,3799.19905,3799.19905,3.6852230785000004,Wednesday,9
2024-07-10 09:30:00,400.0,3796.02155,3796.02155,3.6821409034999997,Wednesday,9
2024-10-27 17:30:00,268.0,3622.4731343283584,3622.4731343283584,3.5137989402985075,Sunday,17
2024-06-19 19:30:00,648.0,3617.094598765432,3617.094598765432,3.5085817608024685,Wednesday,19
2024-10-27 17:45:00,262.0,3573.6820610687023,3573.6820610687023,3.466471599236641,Sunday,17
